text,label
"2nd SBC RWK:#14/ 
Release:#01/02/03/04/05/06/07/08/09/10/11/12/13/15/16/17/18/19/20/21/22/23/24/25/ 
Lot id: SSDFTG.00W ",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
put #25 to promis ERF7 to RWK,__label__Split
"Please release this lot.
Please put the rejects into reject bin.",__label__Continue
"Please release this lot.
Please put the rejects into reject bin.",__label__Continue
"1.release wafer #17 
2.Please split and RMA #18~24, yield< RMA limit. (Use R1 to RMA)
3.Please split and RMA #25 back to TSMC for FA.( Use R1 to RMA)",__label__Split
"Please split and RMA #18~24, yield< RMA limit. (Use R1 to RMA)",__label__Split
-INK8pcs release and release others by kai,__label__Continue
"Follow instruction: 1) Please release wafer #1,3,4,6 and follow BOM flow.
2) Please RMA #2,5,7,8, yield<RMA limit (Use R1 to RMA)",__label__Split
"Follow instruction: 1) Please release wafer #1,3,4,6 and follow BOM flow. 2) Please RMA #2,5,7,8, yield<RMA limit (Use R1 to RMA)",__label__Split
"1)Please release wafer #1,3,4,6 and follow BOM flow.
2)Please RMA #2,5,7,8, yield<RMA limit (Use R1 to RMA)",__label__Split
"This lot [63M2C471.1_SSD9BV.00W_CP2], we follow CP2 auto move criteria to dispose as below. 
2nd SBC RWK:#06/ 
Release:#01/02/03/04/05/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/ ",__label__Split
"This lot [63M2A744.1_SSD8TH.00W_CP2], we follow CP2 auto move criteria to dispose as below. 
2nd SBC RWK:#02/ 
Release:#01/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"This lot [63M2B695.1_SSD917.00W_CP2], we follow CP2 auto move criteria to dispose as below. 
2nd SBC RWK:#08/ 
Release:#01/02/03/04/05/06/07/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/ ",__label__Split
"This lot [63M2B794.1_SSD8NZ.00W_CP2], we follow CP2 auto move criteria to dispose as below. 
2nd SBC RWK:#02/11/24/ 
Release:#01/03/04/05/06/07/08/09/10/12/13/14/15/16/17/18/19/20/21/22/25/ ",__label__Split
"This lot [63M2C471.1_SSD9BV.00W_CP2], we follow CP2 auto move criteria to dispose as below. 
2nd SBC RWK:#06/ 
Release:#01/02/03/04/05/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/ ",__label__Split
"This lot [63M2D236.1_SSD6N9.00W_CP2], we follow CP2 auto move criteria to dispose as below. 
2nd SBC RWK:#03/05/ 
Release:#01/02/04/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/ ",__label__Split
"This lot [63M3A607.1_SSD9FA.00W_CP2], we follow CP2 auto move criteria to dispose as below.
2nd SBC RWK:#21/
Release:#01/02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/22/23/24/25/",__label__Split
"Low yield wafer, pls proceed RMA. Thanks.",__label__RMA
"Low yield wafer, pls proceed RMA. Thanks.",__label__RMA
"pls retest all rejects and ensure tester pass correlation units, thanks",__label__RetestOffline
"Flow (5) : #9,11,13,16,17, wait DCOP
Retest (6) : #7,8,10,12,14,18,Fail bin retest B3440 to T1M2N906.4",__label__Split
Please help to change tester and re-test W#13 AOI done ,__label__RetestOffline
[Do not use TS2156/TS1882/TS2152] RE-EAP W# 13 BIN4410,__label__RetestOffline
"Scrap (1) : #2, (low yield) to T1M3M815.2",__label__Scrap
Please help issue retest W#19 reject as EMS command first.,__label__RetestOffline
"Please help retest W#01,04,08,09,11 reject as EMS command first.",__label__RetestOffline
Please help to issue retest reject of wafer#19 first.,__label__RetestOffline
"RT PESBC PASS , RELEASE.",__label__Continue
"Please help issue wafer #21,25 to retest first.",__label__RetestOffline
RMA W11 (36.39%) for low yield ,__label__RMA
"Spilt #1 to hold
Hold 11M2C284.1 ",__label__Split
"拆 w#1 and w#18 to Hold , Hold .1",__label__Split
"拆W#18 to T1M5R116.3
T1M5R116.3 hold to cust/A1",__label__Split
"Normal Scrap (1) : #3, (Low Yield, VB1) to T1M2R292.2",__label__Scrap
"Normal Scrap (1) : #24, (low yield, s2 pie request) to T1M4R922.2",__label__Scrap
"Split Retest (1) : #23,FAil Bin retest (B2852) to T1M2R092.4
Hold (2) : #20,21,T1M2R092.3",__label__Split
"Flow (23) : #1,2,3,4,5,6,7,8,9,10,11,13,14,15,17,18,19,20,21,22,23,24,25, wait DCOP
Retest (1) : #12, to T1M2O031.2
Retest for DUT issue #12",__label__Split
Please split and RMA #25 back to TSMC for FA.( Use R1 to RMA),__label__Split
"Please hold #17~19,22,24,25 in EMS. Please RMA #20,21 back to TSMC.",__label__Split
"Please reprobe bin7 for wafer #2 on another setup. Please release wafer #1,7 and follow BOM flow.",__label__Split
Please reprobe bin9 for wafer #21 on another setup. Please release wafer #24 and follow BOM flow.,__label__Split
"Please reprobe bin7 for wafer #2 on another setup. Please release wafer #1,7 and follow BOM flow.",__label__Split
Please reprobe bin9 for wafer #21 on another setup. Please release wafer #24 and follow BOM flow.,__label__Split
"Please reprobe bin7 for wafer #2 on another setup. Please release wafer #1,7 and follow BOM flow.",__label__Split
Please reprobe bin9 for wafer #21 on another setup. Please release wafer #24 and follow BOM flow.,__label__Split
"Please reprobe bin10,20 for wafer #2 on another setup. Please release wafer #6 and follow BOM flow. ",__label__Split
"Please reprobe bin10,20 for wafer #2 on another setup. Please release wafer #6 and follow BOM flow. ",__label__Split
"Please continue to hold wf#13. 
Release remaining wafers.",__label__Split
Please continue to hold wf#3 and release remaining wafers.,__label__Split
Please continue to hold wf#3 and release remaining wafers.,__label__Split
Please continue to hold wf#3 and release remaining wafers.,__label__Split
Please continue to hold wf#12. Release remaining wafers.,__label__Split
"These are tested Bin1. 1005 yield expected.

Likely invalid rejects. Please retest all rejects.",__label__RetestOffline
Please help retest all reject of wafer#22 on other tester.,__label__RetestOffline
"Follow instruction: Please use R1 release for RMA W#13,14",__label__Split
"RMA w#13,14 ; release w#16",__label__Split
"RMA w#13,w#14 ; release w#10,w#15,w#16,w#18",__label__Split
"RMA w#13,w#14 ; 
release w#10,w#15,w#16,w#18",__label__Split
RMA #12 Release #6,__label__Split
RMA #12 Release #6,__label__Split
"RMA w#13,w#14 ; release w#10,w#15,w#16,w#18",__label__Split
"Please use R1 to release for RMA , thanks ! 
63M2P001.1",__label__Split
"Please RMA #3 back to TSMC. Please release wafers #1,2,4~8 and follow BOM flow.",__label__Split
"Please RMA #3 back to TSMC. Please release wafers #1,2,4~8 and follow BOM flow.",__label__Split
"Please RMA #3 back to TSMC. Please release wafers #1,2,4~8 and follow BOM flow.",__label__Split
Please use R1 release for RMA W#13,__label__Split
Please use R1 release for RMA W#08,__label__Split
Please use R1 release for RMA W#19,__label__Split
"INK #22,23",__label__RetestOffline
INK #1,__label__RetestOffline
"INK #5,7,9,13,15,17,21,25",__label__RetestOffline
INK #6,__label__RetestOffline
INK #21,__label__RetestOffline
INK #20,__label__RetestOffline
INK #23,__label__RetestOffline
INK #25,__label__RetestOffline
INK #14,__label__RetestOffline
"INK #14,17",__label__RetestOffline
INK #16,__label__RetestOffline
INK #18,__label__RetestOffline
INK #20,__label__RetestOffline
INK #20,__label__RetestOffline
INK #14,__label__RetestOffline
INK #25,__label__RetestOffline
INK #13,__label__RetestOffline
INK #19,__label__RetestOffline
INK #13,__label__RetestOffline
"INK #1,2,3,5,6,7,10,11",__label__RetestOffline
"INK #13,14,18,19,20,22,23",__label__RetestOffline
"INK #1,2,3,4,7,8,9,10,11,12,13,16,17,19,21,23,24,25",__label__RetestOffline
INK #4,__label__RetestOffline
ink W#03 re do DCOP,__label__RetestOffline
"INK #1,2,3,4,5,6,7,8;re-do DCOP",__label__RetestOffline
"INK #3,5,8,13; re-do DCOP",__label__RetestOffline
"INK #20,21,25;re-do DCOP",__label__RetestOffline
"INK #9,14;re-do DCOP",__label__RetestOffline
"INK #7,13;re-do DCOP",__label__RetestOffline
"Flow (12) : #11,12,14,15,16,17,18,20,21,22,24,25, - T1M25240.1 
Retest (2) : #19,23, (SB2042) retest with TP Probe Card. to T1M25240.2 ",__label__Split
lot#63M3L841.1 and hold .2 for retest rejects with other HW(L/B).,__label__RetestOffline
lot#63M3M139.1 and hold .2 for retest rejects with other HW( tester or L/B).,__label__RetestOffline
"Please release wafer #7 and ship to PNG assy. Please hold #1,2,8,9.",__label__Split
"Please release wafer #11,17 and ship to PNG assy. Please hold #12,16,18.",__label__Split
Please release wafer #25 and ship to PNG assy. Please hold #21~24.,__label__Split
"Please release wafer #11,17 and ship to PNG assy. Please hold #12,16,18.",__label__Split
"Follow offline PD instruction: Pls report to EMS W1,8,10,13,14,15,16,20,24 and add remark re-probe done. Other wafers pls release. Thanks.",__label__Split
"Follow offline PD instruction: Pls report to EMS W1,8,10,13,14,15,16,20,24 and add remark re-probe done. Other wafers pls release. Thanks.",__label__Split
"Use R1 to RMA
Please RMA #1, yield< RMA limit",__label__RMA
"Use R1 to RMA
Please RMA #14, yield < RMA limit",__label__RMA
Cust-RT W# 8 BIN250 Do EQC with Normal Rule. ,__label__RetestOffline
Please retest rejects of lot#63M1P820.2 with TUF10+LB#05. Thanks.,__label__RetestOffline
Please retest rejects of lot#/63M2L656.2 with TUF10+LB#05. Thanks.,__label__RetestOffline
"Ink#14,22 with the VI ink data,then release the lot ",__label__Continue
"Ink#10,25 with the VI ink data,then release the lot",__label__Continue
"Ink#5 with the VI ink data,then release the lot",__label__Continue
"Ink#2,3,4 with the VI ink data,then release the lot ",__label__Continue
"Ink#1,2,9,13,14,16,24 with the VI ink data,then release the lot",__label__Continue
"Please RMA #10 , yield< RMA limit. Please release wafers #9,11~16 and follow BOM flow.",__label__Split
"Please RMA #10 , yield< RMA limit. Please release wafers #9,11~16 and follow BOM flow.",__label__Split
"Please RMA #1, yield<RMA limit.
Please release wafer #4 and follow BOM flow.",__label__Split
"Please retest all rejects of W#1,4 by different setup",__label__RetestOffline
"Please help retest all rejects of W#18,19,21~25 by different setup",__label__RetestOffline
"Please retest all the rejects on wafer#10,19 at a different setup.",__label__RetestOffline
Please retest all the rejects on wafer#25 at a different setup.,__label__RetestOffline
"Please retest all the rejects on wafer#7,13 at a different setup.",__label__RetestOffline
"Please retest all the rejects on wafer#4,6 at a different setup.",__label__RetestOffline
Please retest all the rejects on wafer#18 at a different setup.,__label__RetestOffline
"Please retest all the rejects on wafer#4,6 at a different setup.",__label__RetestOffline
Please retest all the rejects on wafer#18 at a different setup.,__label__RetestOffline
"Please retest rejects of lot#63M5P407.1 with other HW( tester or L/B).
Also, do notice on traveler card change hold code to ""A1"". Thanks.",__label__RetestOffline
"Flow (9) : #2,3,4,5,6,7,8,9,10
Retest (1) : #1,(Fail Bin retest B6680)",__label__Split
"Flow (1) : #25
Retest (8) : #13,15,19,20,21,22,23,24",__label__Split
"Re-test all reject units from TBGC80 W21 on a different setup;
release all other wafers",__label__Split
"Follow SBC Retest:
After PGFH, please send offline retest HBin8,38 on other setup of w#15.",__label__Split
"Normal Scrap (4) : #21,22,23,24 (VB2 scrap)
Flow (6) : #16,17,18,19,20,25",__label__Split
"Normal Scrap (1) : #20, (VB2 scrap)
Flow (12) : #13,14,15,16,17,18,19,21,22,23,24,25",__label__Split
[Do not use PC#803] CPQ4 with COF,__label__RetestOffline
"Normal Scrap (1) : #24, Normal Scrap (<10%) 
Flow (11) : #11,12,13,14,15,19,20,21,22,23,25",__label__Split
Please retest rejects of lot#63M2O931.2 with other HW( L/B). Thanks.,__label__RetestOffline
"Please RMA #7, yield <="""" td="""">",__label__RMA
"Hi SPD team,

Please help to dispose retest all reject with different tester,thanks.(don’t use TUF62)",__label__RetestOffline
"Hi SPD team,

Please help to dispose retest all reject with different tester,thanks.(don’t use TUF62)",__label__RetestOffline
"Re-keyin EAP :
Please help issue retest all reject (Bin5~39) of wafer#13.",__label__RetestOffline
normal release w#21 Remark: Done retest by different setup,__label__Continue
"normal release w#18,21,24,25, Remark: Done retest by different setup",__label__Continue
"Normal release w#9,11 Done retest Bin12 by different setup",__label__Continue
"Normal release w#20,25 , Done retest Bin12 by different setup",__label__Continue
"Normal release w#6,9 , Done retest by different setup",__label__Continue
Re-test all reject bins from TBHW36 W21,__label__RetestOffline
"Please use R1 to release for RMA , thanks ! 

Date SPIL No. Qty Wafer ID Remark RMA code
03/08 63M2O870.1 1 4 RMA R1",__label__RMA
"Please use R1 to release for RMA , thanks ! 

Date SPIL No. Qty Wafer ID Remark RMA code
03/08 63M2O135.1 2 12,13 RMA R1",__label__RMA
"Please use R1 release for RMA, thanks.

Date SPIL No. Qty Wafer ID Remark RMA Code
03/08 63M2O121.1 2 10,11 RMA R1",__label__RMA
"Please use R1 release for RMA W#24
Date SPIL No. Qty Wafer ID Remark RMA Code
03/10 63M2O644.1 1 24 RMA R1",__label__RMA
clean probe and retest all rejects for #1 release #10,__label__Split
clean probe and retest all rejects for #1 release #10,__label__Split
clean probe and retest all rejects for #1 release #10,__label__Split
"INK#01,04,17 release and others release ",__label__Continue
"mother lot #01~03,05~19,21~25 release as per Leo",__label__Continue
"請協助拆批release

W#01 (拆出子批release)
W#02, 03, 04, 05, 06, 08, 09, 10, 11, 12, 13, 14 (原母批, 一併release)",__label__Split
Please dispose rejects for another round of retest.,__label__RetestOffline
"Please help retest all reject of wafer #2,3,4,5,6,7,8,9,10,12 (Don’t use P/C AT2994)",__label__RetestOffline
Please help issue retest all reject (Bin5~39) of wafer#13.,__label__RetestOffline
"Please help issue retest all reject (bin5~39) of wafer #1~3,8,11.",__label__RetestOffline
retest all rejects,__label__RetestOffline
Please take note to retest all rejects one more time.,__label__RetestOffline
Retest all reject bins,__label__RetestOffline
retest mother lot 63M2B784.2 with LB#03.,__label__RetestOffline
"Normal Scrap (1) : #12,(loow YLD) to T1M2M144.2",__label__Scrap
close,__label__Continue
CLOSE,__label__Continue
CLOSE,__label__Continue
close,__label__Continue
CLOSE,__label__Continue
close,__label__Continue
close,__label__Continue
"Flow (13) : #11,12,13,14,15,16,17,18,19,20,22,23,24
Retest (2) : #21,25, failbin retest",__label__Split
"Follow instruction: RMA#1,7, rls 6,9~EMS~ Pls proceed, low yield wafers. Thanks.",__label__Split
"請拆Wafer #02,03到子批,",__label__Split
"1.Pls RMA #15 back to TSMC due to below scrap limit.~EMS~
2.Use R1 to RMA",__label__RMA
help to RC again due to Bin2 failure thanks,__label__RetestOffline
please help to change tester and retest w#10 all rejects ,__label__RetestOffline
"Please help to change tester and retest all rejects for w#1~3,7~9",__label__RetestOffline
"Please hold w#6,9,10 to EMS, retest Bin8 for w#3 on other tester.
NOTE: retest reject units on other tester and P/C.",__label__Split
"Please help retest Bin25 of wafer #10,14 on other setup and release other wafers.",__label__Split
"(Call EQ open auto reprobing ) Load #1-25 Bin250,251",__label__RetestOffline
Please split fails to child lot.,__label__Split
Normal Scrap (1) : #19(low yld) to T1M2O505.2 ,__label__Scrap
"Normal Scrap (1) : #10,(low yld) to T1M5S441.2",__label__Scrap
"Normal Scrap (1) : #10,(low yld) to T1M5S290.2",__label__Scrap
"Retest bin4,5 to recover rate < 30%",__label__RetestOffline
"Retest bin4,5 to recover rate < 30%",__label__RetestOffline
"Flow (9) : #1,2,3,4,5,6,9,10,11
Retest (2) : #7,8, (retest for B1048 with other eqipment)",__label__Split
"Flow (14) : #1,2,3,4,5,6,7,8,20,21,22,23,24,25, to 
Retest (11) : #9,10,11,12,13,14,15,16,17,18,19, (retest for B1026,B1168,B1658 with other equiment)",__label__Split
"Normal Scrap (2) : #8,21, (Low Yield) to T1M5S609.2- Normal Scrap",__label__Scrap
please retest all rejects with different LB and release good to next step,__label__Split
"Dear PDS,

Please retest all fail of lot#63M2P618.2 with other HW( tester) ",__label__RetestOffline
"Flow (24) : #1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Retest (1) : #2 (retest all good chips with DVS test pgm, hold this wafer pending review after DVS test)",__label__Split
"Flow (24) : #1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Retest (1) : #11 (retest all good chips with DVS test pgm, hold this wafer pending review after test)",__label__Split
"Please retest all the rejects on wafer#14,15,17,18,22,24 with probe card AT2591",__label__RetestOffline
"Please help as below

1.Hold W#2,5,8, release others
2.Retest Bin12,16 of W#2,5,8 by different setup again",__label__Split
"Please retest Bin22 for w#6,8 on other tester and P/C, release other wafer.",__label__Split
"Please retest Bin26 for w#13 on other tester, release other wafer.",__label__Split
"Please retest Bin22 for w#2 on other tester, release other wafer.",__label__Split
"Please retest Bin39 for w#20 on other tester, release other wafer.",__label__Split
"Please retest Bin22 for w#25 on other tester , release other wafer.",__label__Split
"Please retest Bin22 for w#6,8 on other tester and P/C, release other wafer.",__label__Split
"Please retest Bin5,22,26 for w#13 on other tester and P/C, release other wafer.",__label__Split
"Please retest Bin26 for w#13 on other tester, release other wafer.",__label__Split
"Please retest Bin22 for w#6,8 on other tester and P/C, release other wafer.",__label__Split
"Please retest Bin26 for w#13 on other tester, release other wafer.",__label__Split
"Please retest Bin22 for w#2on other tester, release other wafer.",__label__Split
"Please retest Bin22 for w#2 on other tester, release other wafer.",__label__Split
Non compliant lot. Please retest the rejects on a different tester.,__label__RetestOffline
Non compliant lot. Please retest the rejects with 1+1 insertion on a different tester.,__label__RetestOffline
"請將BIN7拆成一個子批後 ,all hold to PD (IC已還庫房)",__label__Split
"Please help as below

1. Hold W#2,5,8, release others
2. Retest Bin12,16 of W#2,5,8 by different setup again

63M1P738.1 / TB9T06.00
Hold Wafer ID : 02~08",__label__Split
"Hold wafer 9 on EMS, other release

63M2P311.1_TBKF57.00



Remark: done retest on other setup",__label__Split
"Instructions:
Please retest all the rejects on wafer#1,2,3,7 at a different setup and release wafer#13,21.",__label__Split
"Instructions:
Please release wafer#1,10,13,14,15,16,20,24 and retest all the rejects on wafer#8 at a different setup.",__label__Split
"Please release wafer#1,10,13,14,15,16,20,24 and retest all the rejects on wafer#8 at a different setup.",__label__Split
"Instructions:
Please retest all the rejects on wafer#1,2,3,7 at a different setup and release wafer#13,21.",__label__Split
"Instructions:
Please release wafer#1,10,13,14,15,16,20,24 and retest all the rejects on wafer#8 at a different setup.",__label__Split
"Please retest all the rejects on wafer#1,2,3,7 at a different setup and release wafer#13,21.",__label__Split
"Please release wafer#1,10,13,14,15,16,20,24 and retest all the rejects on wafer#8 at a different setup.",__label__Split
Please release wafer#5 and retest all the rejects on wafer#7 at a different setup.,__label__Split
Please release wafer#5 and retest all the rejects on wafer#7 at a different setup.,__label__Split
"Please retest all the rejects on wafer#6,18 at a different setup and release wafer#22,24,25.",__label__Split
"Please release wafer#2,6,11,13,17 and retest all the rejects on wafer#4,12 at a different setup",__label__Split
"Please release wafer#17,18 and retest all the rejects on wafer#14,19 at a different setup.",__label__Split
"Please release wafer#22,25 and retest all the rejects on wafer#21 at a different setup.",__label__Split
"Please retest all the rejects on wafer#16 at a different setup and release wafer#1,11,14,18,25.",__label__Split
"Please release wafer#17,18 and retest all the rejects on wafer#14,19 at a different setup.",__label__Split
Please release wafer#5 and retest all the rejects on wafer#7 at a different setup.,__label__Split
"Please retest all the rejects on wafer#6,18 at a different setup and release wafer#22,24,25.",__label__Split
"Please retest all the rejects on wafer#16 at a different setup and release wafer#1,11,14,18,25.",__label__Split
"Please release wafer#22,25 and retest all the rejects on wafer#21 at a different setup.",__label__Split
"Please release wafer#2,6,11,13,17 and retest all the rejects on wafer#4,12 at a different setup",__label__Split
"Please release wafer#17,18 and retest all the rejects on wafer#14,19 at a different setup.",__label__Split
"Please retest all the rejects on wafer#16 at a different setup and release wafer#1,11,14,18,25.",__label__Split
Please release wafer#5 and retest all the rejects on wafer#7 at a different setup.,__label__Split
"Please retest all the rejects on wafer#1,2,3,7 at a different setup and release wafer#13,21.",__label__Split
"Please release wafer#22,25 and retest all the rejects on wafer#21 at a different setup.",__label__Split
"Please retest all the rejects on wafer#6,18 at a different setup and release wafer#22,24,25.",__label__Split
"Please release wafer#2,6,11,13,17 and retest all the rejects on wafer#4,12 at a different setup",__label__Split
put wafer id [#05] to RMA ,__label__RMA
put SNP8KG.00P wafer#07 to RMA,__label__RMA
put SNPKR4.00P wafer#23 to RMA,__label__RMA
put wafer[#03] to RMA ,__label__RMA
put #18 to RMA,__label__RMA
put #04 to RMA,__label__RMA
put #06 to RMA ,__label__RMA
put #19 to RMA,__label__RMA
put #02 to RMA,__label__RMA
"Normal Scrap (1) : #10, (low YLD)
Flow (1) : #1",__label__Split
"Please retest Bin12 for w#2,4,6,8,10 on other tester and P/C.

63M2M274.1 / TBAF71.00
Hold Wafer ID : 2,4,6,8,10",__label__RetestOffline
"Please retest Bin12 for w#6,8 on other tester.

63M1O763.1 / TBAG44.00
Hold Wafer ID : 6,8",__label__RetestOffline
"Please retest Bin5,12,26,37 for w#15 on other tester.

63M1P001.1 / TBAH03.00
Hold Wafer ID : 15",__label__RetestOffline
"Please retest Bin5,11,12,16,37 for w#2 on other tester.

63M2N434.1_TBAC99.00
Hold Wafer ID : 2",__label__RetestOffline
"Please retest Bin8 for w#22 on other tester.
63M2O997.1_TBHY16.TM
Hold Wafer ID : 22",__label__RetestOffline
"Please retest Bin5,16,22 for w#3~5,13 on other tester and P/C.

63M2P003.1_TBHY35.00
Hold Wafer ID : 3~5,13",__label__RetestOffline
"Please retest Bin12 for w#17,21 on other tester and P/C.

63M2P911.1 / TBMK10.00
Hold Wafer ID : 17,21",__label__RetestOffline
"Please retest Bin3,5,8,10,12,16,19,26 for w#13,15,19,24 on other tester and P/C.

63M2P111.1_TBMH51.00
Hold Wafer ID : 13,15,19,24",__label__RetestOffline
"Please retest Bin5,12,16,25,26 for w#14,16 on other tester.
63M2P022.1_TBHY75.00
Hold Wafer ID : 14,16",__label__RetestOffline
"Please retest Bin8 for w#14 on other tester.

63M2P022.1 / TBHY75.00
Hold Wafer ID : 14,16",__label__RetestOffline
"Please retest Bin19 for w#13,15,19,24 on other tester and P/C.

63M2P111.1_TBMH51.00
Hold Wafer ID : 13,15,19,24",__label__RetestOffline
"Please retest Bin5,22,39 for w#3,9 on other tester and P/C.

63M2P421.1 / TBMK57.00
Hold Wafer ID : 3,9",__label__RetestOffline
"Please retest Bin8,19 for w#4 on other tester and P/C.
63M2P425.1_TBHY07.TP
Hold Wafer ID : 4",__label__RetestOffline
"Please retest Bin22 for w#4 on other tester and P/C.
63M2P488.1 / TBMH58.00
Hold Wafer ID : 4",__label__RetestOffline
"Please retest Bin39 for w#9 on other tester and P/C.

TBHY88.TH - 63M2P648.1
Hold Wafer ID : 9",__label__RetestOffline
"Please help to retest Bin22 for w#14 on other tester.

63M2P489.1 / TBMH53.00
Hold Wafer ID : 14",__label__RetestOffline
Please RC again on other tester due to VOLH failure. [Don't TS625],__label__RetestOffline
please release good and retest all rejects with different LB (due to single tester for VG20),__label__Split
please release good and retest all rejects with different LB (due to single tester for VG20),__label__Split
please release good and retest all rejects with different LB (due to single tester for VG20),__label__Split
pls reprobe W#24 of BIN12 with a different setup,__label__RetestOffline
"[Online clean P/C] RT #2,4,7,22 BIN2-99 use ""RET"" mode and turn off re-probing.",__label__RetestOffline
Please split bin1 from 63M2B784.2 and release it (provide sublot # once done),__label__Split
"Normal Scrap (1) : #9(low yld)
Flow (22) : #1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,18,19,20,21,23,24,25,",__label__Split
"Normal Scrap (1) : #3,(Low YLD)
Flow (11) : #1,2,4,5,6,7,8,9,10,11,12",__label__Split
"Normal Scrap (3) : #7,11,12,(Low YLD)
Flow (9) : #1,2,3,4,5,6,8,9,10",__label__Split
"Normal Scrap (1) : #25,(Low YLD)
Flow (12) : #13,14,15,16,17,18,19,20,21,22,23,24",__label__Split
"Normal Scrap (2) : #19,21,(low YLD)
Flow (23) : #1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,23,24,25",__label__Split
"Normal Scrap (1) : #8, (low YLD)
Flow (22) : #1,2,3,4,5,6,7,9,10,11,12,14,15,16,17,18,19,20,21,22,23,25",__label__Split
"Normal Scrap (1) : #12,(LOW YLD)
Flow (24) : #1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25",__label__Split
"Normal Scrap (1) : #14,(low yld)
Flow (24) : #1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25",__label__Split
"Please retest Bin39 for w#20 on other tester, release other wafer.
63M2M002.1_TBAF52.00
Hold Wafer ID : 19,20,21,25",__label__Split
